Date of fail,Product description,Country of origin,Producer name,Reason for fail,Results,Units,Reference,Category,Test applied,Holding order number
2020-09-16,Nut cracker (spicy coated fried peanut),India,Haldirams Snacks,Aflatoxin,"0.014 
(product contains 69% peanut, therefore the calculated maximum level is 0.010)",mg/kg,NUT 11/2018,Risk,,
2020-09-17,Raze energy voodoo sports drink,United States,Repp Sports,Caffeine,In excess of 320 ,mg/L,FSC 2.6.4,Surveillance,,
2020-09-17,Raze energy lime sports drink,United States,Repp Sports,Caffeine,In excess of 320 ,mg/L,FSC 2.6.4,Surveillance,,
2020-09-17,Frozen baby clam meat,Vietnam,Hop Tan Seafood Corporation,E. coli,"110, >110, 24, 2.3, <2.3",MPN/g,MOL 04/2017,Risk,,
2020-09-17,Dry anchovy,Myanmar,City Winner Co Ltd,Histamine,1000,mg/kg,HIS 12/2016,Risk,,
2020-09-17,Raze energy watermelon sports drink,United States,Repp Sports,Caffeine,In excess of 320 ,mg/L,FSC 2.6.4,Surveillance,,
2020-09-17,Raze energy guava mango sports drink,United States,Repp Sports,Caffeine,In excess of 320 ,mg/L,FSC 2.6.4,Surveillance,,
2020-09-18,Dried red dates ,China,Tianjin Jinghai Huixin Industry &Trade,Propargite,"0.06 
Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-09-21,Mari Sing bhujiya,India,Kartik Enterprise,Aflatoxin,"0.01 
(product contains 63% peanut, therefore the calculated maximum level is 0.009)",mg/kg,NUT 11/2018,Risk,,
2020-09-21,Organic toasted coconut flakes,Sri Lanka,Sanmick Food Pty Ltd,Salmonella,Detected,/250g,SES 05/2014,Risk,,
2020-09-21,Freshwater dried fish (Stolothrissa Tanganicae),Tanzania United Republic,FJB fish,Histamine,260,mg/kg,HIS 12/2016,Risk,,
2020-09-23,Tasty spicy coated peanuts,India,Haldirams Snacks,Aflatoxin,"0.012 
(product contains 65% peanut, therefore the calculated maximum level is 0.009)",mg/kg,NUT 11/2018,Risk,,
2020-09-25,Olives,Greece,I & G Higas – S Geordgiadis SNC,Additive; colour 127,Not permitted in this food ,n/a ,FSC 1.3.1,Surveillance,,
2020-09-25,Betel nut – mouth freshener,United Arab Emirates,Trident Exports Middle East FZE,"Areca catechu
(Betel nut",Prohibited plant ,n/a ,FSC 1.4.4,Surveillance,,
2020-09-28,Burn HD thermogenic cortisol support supplement,Canada,HD Muscle,Caffeine,9.56 - Exceeds permitted ML,g/100g,FSC 1.1.1,Surveillance,,
2020-09-29,Tasty peanuts,India,Euro India Fresh Foods Pvt Ltd,Aflatoxin,0.155,mg/kg,NUT 11/2018,Risk,,
2020-09-29,Cassava chips,Sri Lanka,Lakrasa Food,Hydrocyanic acid,29,mg/kg,CAS 09/2019,Risk,,
2020-09-29,Mixed fruit jam,India,Dorsal Expoventure Private Limited,Vitamin B3,Not permitted in this food ,n/a ,FSC 1.3.2,Surveillance,,
2020-09-29,Halawa (plain),Lebanon,Sonaco (Lebanon),Salmonella,Detected,/125g,SES 05/2014,Risk,,
2020-10-02,Cheese cutz crispy & cheesy crackers,Sri Lanka,Cargills Quality Confectioneries Pvt Ltd,Vitamin K1,Not permitted in this food ,n/a ,FSC 1.3.2,Surveillance,,
2020-10-02,Cream crackers,Sri Lanka,Cargills Quality Confectioneries Pvt Ltd,Vitamin K1,Not permitted in this food ,n/a ,FSC 1.3.2,Surveillance,,
2020-10-05,Frozen white clams,Vietnam,Viet Hung Agricultural Products and Foodstuffs JSC,E. coli,"<2.3, 7.5, <2.3, 2.3, 46",MPN/g,MOL 04/2017,Risk,,
2020-10-06,Breakfast cereal,Portugal,A Tremoceira Estrela Da Piedade Lda,Pantothenic acid,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-06,Breakfast cereal,Portugal,A Tremoceira Estrela Da Piedade Lda,Vitamin B6,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-07,Pitted red dates,China,Micson Food Processing,Cypermethrin,"0.15
Exceeds permitted MRL ",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-07,Pitted red dates,China,Micson Food Processing,Propargite,"0.073
Not permitted in this food ",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-07,Frozen mackerel fillet,China,"Dalian Chengxin Seafood Co.,Ltd",Histamine,2300,mg/kg,HIS 12/2016,Risk,,
2020-10-07,Boost beverage,India,Bathra Enterprises,Copper,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-07,Boost beverage,India,Bathra Enterprises,Niacin,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-07,Boost beverage,India,Bathra Enterprises,Biotin,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-07,Frozen soft shell crab,Thailand,Siamchai International Food Co Ltd (establishment 1049),Nitrofurazone,"0.002 
Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-07,Boost beverage,India,Bathra Enterprises,Pantothenic acid,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-07,Red chilli powder (extra hot),India,Synthite Industries Private Limited,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-10-07,Frozen soft shell crab,Thailand,Siamchai International Food Co Ltd (establishment 1049),Nitrofurazone,"0.001 
Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-07,Boost beverage,India,Bathra Enterprises,,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-07,Boost beverage,India,Bathra Enterprises,Vitamin C,Not permitted in this food,n/a ,FSC 1.3.2,Surveillance,,
2020-10-08,Soft shell crab,Myanmar,"Aung Moe Khine Manufacturing Co.,Ltd",Nitrofurazone,"0.002
Not permitted in this food ",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-09,Sweet Peanuts,India,Multigrain Food Pvt Ltd,Aflatoxin,0.043,mg/kg,NUT 11/2018,Risk,,
2020-10-09,Spanish mackerel steaks,Indonesia,PT. Tridaya Jaya Manunggal,Histamine,371,mg/kg,HIS 12/2016,Risk,,
2020-10-09,Seaweed powder (Kelp),Japan,Harvest Co Ltd,Iodine,3630,mg/kg,BSW 12/2016,Risk,,
2020-10-12,Chilli powder,India,Sudjir Sheth,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-10-12,Cooked Prawn Meat,Vietnam,"Thanh Thuy Co., Ltd",Standard plate count,"260,000, 230,000, 310,000, 190,000, 81,000",CFU/g,CRU 03/2019,Risk,,
2020-10-15,Kelp powder,India,Sunhae Marine,Iodine,5300,mg/kg,BSW 12/2016,Risk,,
2020-10-15,Jute leaves,Philippines,Kaelen Phils Inc,Chlorpyrifos,"0.031
Exceeds permitted MRL",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-15,Jute leaves,Philippines,Kaelen Phils Inc,Profenofos,"0.18
Exceeds permitted MRL",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-16,Dried shaved bonito,Japan,Kaneshichi Co Ltd,Histamine,340,mg/kg,HIS 12/2016,Risk,,
2020-10-16,Frozen whole white clams,Vietnam,Godaco Seafood J.S.C,E. coli,"46, 24, 110, <2.3, <2.3",MPN/g,MOL 04/2017,Risk,,
2020-10-16,Red chilli powder,India,Synthite Industries Private Limited,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-10-16,Lil nitro gummy bears,United States,Nestle,Additive Sodium benzoate,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-10-19,Durian,Malaysia,Far East Import – Export (Serdang) SDN BHD,Metalaxyl,"0.079
Exceeds permitted MRL",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-19,Durian,Malaysia,Far East Import – Export (Serdang) SDN BHD,Metalaxyl,"0.08 
Exceeds permitted MRL",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-19,Durian,Malaysia,Far East Import – Export (Serdang) SDN BHD,Chlorpyrifos,"0.058
Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-19,Durian,Malaysia,Far East Import – Export (Serdang) SDN BHD,Chlorpyrifos,"0.046
Not permitted in this food",mg/kg,FSC 1.4.2,Surveillance,,
2020-10-21,Tapioca stick masala chips,India,Anupam Foods and Enterprises,Hydrocyanic acid,14,mg/kg,CAS 09/2019,Risk,,
2020-10-21,Fried and seasoned crab,Korea Republic of,Greenwell Food Co Ltd (Namdoo Food Co Ltd),Standard plate count,"330,000, 890,000, 400,000, 340,000, 440,000",CFU/g,CRU 03/2019,Risk,,
2020-10-22,Peanut Gajjak,India,Bikanervala Foods,Aflatoxin,0.024,mg/kg,NUT 11/2018,Risk,,
2020-10-26,Wheat flour - high gluten,China,"Angel Yeast Co.,Ltd",Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-10-26,White fermented bean curd with sesame oil,Taiwan,Chai Li Food Co Ltd,Bacillus cereus,">12000,<100, 200, 100, >15000",CFU/g,Imported Food Control Act section 3(2),Surveillance,,
2020-10-26,CJ IT’s Well vermicelli,China,Sishui Lifeng Food Products (CJ Freshway Qingdao Corporation) CC2,Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-10-27,Barbecue cracker nuts,Philippines,Food Industries,Aflatoxin,0.225,mg/kg,NUT 11/2018,Risk,,
2020-10-27,Fruit cake rusk,India,Bikanervala Foods Pvt Ltd,Additive; Erythrosine,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-10-28,Locust beans,Nigeria,Feco Foods Industries Limited,Ricinus communis (Castor bean),Prohibited plant ,,FSC 1.4.4,Surveillance,,
2020-10-30,Coated Peanuts,Indonesia,PT Selaras Jaya Aneka Globalindo,Aflatoxin,0.014,mg/kg,NUT 11/2018,Risk,,
2020-11-02,Seasoned yellow rice,United States,Smart & Final,Folic Acid,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Seasoned yellow rice,United States,Smart & Final,Thiamine,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Seasoned yellow rice,United States,Smart & Final,Iron,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Long grain rice with vegetable & spices,United States,Smart & Final,Iron,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Long grain rice with vegetable & spices,United States,Smart & Final,Niacin,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Long grain rice with vegetable & spices,United States,Smart & Final,Folic Acid,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Seasoned yellow rice,United States,Smart & Final,Riboflavin,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Seasoned yellow rice,United States,Smart & Final,Niacin,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Long grain rice with vegetable & spices,United States,Smart & Final,Thiamine,"Not permitted in 
this food",,FSC 1.3.2,Surveillance,,
2020-11-02,Cool cherry flavoured bubble gum,South Africa,Mondelez South Africa Ptd Ltd,Additive Erythrosine,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-11-04,Betel nut,India,Favour – ITA International,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-11-05,Legal lean syrup (cherry/raspberry),United States,Doing Big Things,Melatonin,Not permitted in this food,,Imported Food Control Act section 3(2),Surveillance,,
2020-11-05,Jelly babies (confectionery),South Africa,Mister Sweet,Additive Erythrosine,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-11-05,Legal lean syrup (grape),United States,Doing Big Things,Melatonin,Not permitted in this food,,Imported Food Control Act section 3(2),Surveillance,,
2020-11-05,Toor dal (pea),Myanmar,AYS MFG Co Ltd,Chlorpyrifos,0.013 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-11-05,Seaweed knot,China,Xianglan Deil Co,Iodine,1450,mg/kg,BSW 12/2016,Risk,,
2020-11-05,Legal lean syrup (grape),United States,Doing Big Things,St John’s Wort,Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-11-05,Legal lean syrup (cherry/raspberry),United States,Doing Big Things,St John’s Wort,Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-11-06,Peanuts,Argentina,Manisel S.A,Aflatoxin,0.261,mg/kg,NUT 11/2018,Risk,,
2020-11-09,Cooked prawn with garlic marinade,Vietnam,Seavina Joint Stock Company,Standard Plate Count,"190000, 240000, 230000, 220000, 1700000",CFU/g,CRU 03/2019,Risk,,
2020-11-09,Maldive fish chips,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,310,mg/kg,HIS 12/2016,Risk,,
2020-11-09,Crawfish tail,China,"Qingdao Miracle Import & Export Co., Ltd",Listeria monocytogenes,Detected,/125g,CRU 03/2019,Risk,,
2020-11-09,Frozen shredded coconut,Vietnam,BJ&T Joint Stock Company,Salmonella,Detected,/250g,FSC 1.6.1,Surveillance,,
2020-11-09,Dried seaweed,Japan,Fukushima Katsuo Co Ltd,Iodine,4300,mg/kg,BSW 12/2016,Risk,,
2020-11-09,Frozen somber fish,Thailand,New Lamthong Foods Industries Co Ltd,Histamine,290,mg/kg,HIS 12/2016,Risk,,
2020-11-09,Maldive fish chips,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,750,mg/kg,HIS 12/2016,Risk,,
2020-11-09,Crawfish tail,China,"Qingdao Miracle Import & Export Co., Ltd",Standard Plate Count,"120000, 150000, 160000, 140000, 860000",CFU/g,CRU 03/2019,Risk,,
2020-11-10,Garlic shoots,China,Shandong Sinofarm Co Ltd,Carbendazim,"0.06 - Exceeds permitted
MRL",mg/kg,FSC 1.4.2,Surveillance,,
2020-11-13,Anchovy fillets,Italy,Talatta Srl,Histamine,360,mg/kg,HIS 12/2016,Risk,,
2020-11-16,Watermelon flavoured bubble gum,South Africa,Mondelez South Africa Pty Ltd,Additive Erythrosine,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-11-17,Munaka sultana currant,India,Jay Keshav Exports Pvt Ltd,Cyhalothrin,0.66 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-11-17,Fresh baby corn,Thailand,Exoriens Fresh Ltd,E. coli,"<10, <10, 23, 43, 240",MPN/g,FSC 1.6.1,Surveillance,,
2020-11-19,Fruit jelly,Malaysia,Tenten,Additive sodium benzoate (211),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-11-20,Crab meat,Vietnam,Saigon Aquatic Products Trading Joint Stock Company DL769,Nitrofurazone,0.019 - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-11-20,Frozen whole durian,Vietnam,BJ&T Joint Stock Company,Iprodione,0.39 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-11-20,Betel nut medium slices,India,Jay Keshav Exports Pvt Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-11-20,Frozen whole durian,Vietnam,BJ&T Joint Stock Company,Carbendazim,0.18 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-11-20,Mouth freshener,India,JSRJ Group Pty Ltd,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-11-24,Dried shaved bonito,Japan,Yamaki Co Ltd,Histamine,240,mg/kg,HIS 12/2016,Risk,,
2020-11-25,Faunus - lemon syrup,Taiwan,Ming Sheng Food Enterprises Pty Ltd,Additive silicone resin,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-11-26,Jacob's original cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Vitamin A,Not permitted in this food,,FSC 1.4.2,Surveillance,,
2020-11-26,Toor dal (pea),India,Patel Chaturbhai Ranchhodbhai Pulses Llp,Chlorpyrifos,0.017 - Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-11-26,Jacob's original cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Vitamin B12,Not permitted in this food,,FSC 1.4.2,Surveillance,,
2020-11-26,Jacob's original cream crackers,Malaysia,Kraft Malaysia Sdn Bhd,Iodine,Not permitted in this food,,FSC 1.4.2,Surveillance,,
2020-11-27,Pickled fish powder,Sri Lanka,Taviuc Co Ltd,Histamine,240,mg/kg,HIS 12/2016,Risk,,
2020-11-27,Frozen herring,Latvia,Auriba,Listeria monocytogenes,Detected,/125g,FSH 07/2018,Risk,,
2020-11-27,Sweetened betel nut,Pakistan,Fazal Trading Enterprises,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-11-27,Fried and seasoned crab,Korea Republic of,Greenwell Food Co Ltd (Namdoo Food Co ltd),Standard Plate Count,"2200000, 78000, 160000, 28000, 78000",CFU/g,CRU 03/2019,Risk,,
2020-12-01,Horseradish powdered,Japan,Kinjirushi Wasabi Co (Yokohama Japan),Vitamin C,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-12-04,Peanuts blanched,Brazil,Beatrice Comercio Importacao E Exportacao De Amendom Ltda,Aflatoxin,0.033,mg/kg,NUT 11/2018,Risk,,
2020-12-04,Dried spanish mackerel,Sri Lanka,CMB Lanka (Private) Limited,Histamine,920,mg/kg,HIS 12/2016,Risk,,
2020-12-04,Peanuts flour coated,India,Jamnadas Ruttonsey and Company,Aflatoxin,0.22,mg/kg,NUT 11/2018,Risk,,
2020-12-04,Dried spanish mackerel,Sri Lanka,CMB Lanka (Private) Limited,Histamine,410,mg/kg,HIS 12/2016,Risk,,
2020-12-07,Peanut/sesame paste,China,Beijing Wangzhihe Foodstuff Factory,Aflatoxin,"0.011 (product contains 50% peanut, therefore the calculated maximum level is 0.0075)",mg/kg,NUT 11/2018,Risk,,
2020-12-07,Anchovy fillets in olive oil,Italy,Talatta SRL,Histamine,2150,mg/kg,HIS 12/2016,Risk,,
2020-12-08,Maldive fish chips,Sri Lanka,Derana Marketing Services Pvt Ltd,Histamine,250,mg/kg,HIS 12/2016,Risk,,
2020-12-08,Custard cake one roll,Vietnam,Tan Tien Phat Food Manufacturer,Colour 131,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-12-08,Anchovies,Italy,Delizie Di Calaeria,Histamine,310,mg/kg,HIS 12/2016,Risk,,
2020-12-09,Frozen cut hyacinth beans,India,Vadilal Industries Ltd,Profenofos,0.035 Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-12-09,Peanut chickee,Pakistan,Oasis Corporation,Aflatoxin,"0.014 (product contains 60% peanut, therefore the calculated maximum level is 0.009)",mg/kg,NUT 11/2018,Risk,,
2020-12-09,Betel nut,India,Shree Ram Exports,Areca catechu (Betel nut),Prohibited plant,,FSC 1.4.4,Surveillance,,
2020-12-10,Rice,Thailand,C.P Intertrade Co Ltd,Lead,0.9,mg/kg,FSC 1.4.1,Surveillance,,
2020-12-10,Barramundi skin on,Indonesia,PT Iambeu Mina Utama,Nitrofurazone,0.004 Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2020-12-11,Dried anchovy,Myanmar,SHWE Myanmar Investment and Commercial Co Ltd,Histamine,360,mg/kg,HIS 12/2016,Risk,,
2020-12-11,Cereal original chips ahoy,United States,Smart & Final,Vitamin B5,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-12-14,Raspberry juice concentrate,Canada,Pacific Coast Fruit Products Ltd,Fipronil,0.10 Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-12-15,Kelp powder,Korea Republic of,BKF Global,Iodine,4380,mg/kg,BSW 12/2016,Risk,,
2020-12-15,Garlic shoots,China,Anqiu Artisan Agricultural Products Co Ltd,Thiabendazole,0.28 Exceeds permitted MRL,mg/kg,FSC 1.4.2,Surveillance,,
2020-12-16,Canned tuna (tomato and basil),Thailand,ABD Khan Co Ltd,Histamine,812,mg/kg,HIS 12/2016,Risk,,
2020-12-16,Canned tuna (tuna and onion),Thailand,ABD Khan Co Ltd,Histamine,455,mg/kg,HIS 12/2016,Risk,,
2020-12-17,Seasoning peanuts fully cooked,China,Zhejiang Chenhua Co Ltd,Aflatoxin,0.192,mg/kg,HIS 11/2018,Risk,,
2020-12-17,Anchovy fillets,Italy,Talatta SRL,Histamine,330,mg/kg,HIS 12/2016,Risk,,
2020-12-17,Peeled and cooked cocktail prawns,Thailand,Thai Union Seafood Company Ltd,Vibrio cholerae,Detected,/125g,CRU 11/2020,Risk,,
2020-12-18,Prepared fish (otsunami koago),Japan,Kojima Shokuhin Co Ltd,Histamine,250,mg/kg,HIS 12/2016,Risk,,
2020-12-22,Rice ball,Singapore,Tee Yih Jia Food Mfg Pte Ltd,Additive 127 (Erythrosine),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-12-22,Hijiki seaweed,Korea Republic of,BKF Global,Inorganic arsenic,80.3,mg/kg,HIS 10/2016,Risk,,
2020-12-22,Fermented bean curd,China,Kaiping Guanghe Fermented Bean Curd Ltd,Bacillus cereus,"~9000, 13000, 27000, 14000, 150000",cfu/g,Imported Food Control Act section 3(2),Surveillance,,
2020-12-23,Jelly,Korea Republic of,Orion Corporation,Additve colouring gardenia blue,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-12-23,Fruit jam mixed,Korea Republic of,Hindustan Unilever Ltd,Vitamin B3,Not permitted in this food,,FSC 1.3.2,Surveillance,,
2020-12-23,Jelly,Korea Republic of,Orion Corporation,Additive colouring carthamus yellow,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-12-24,Peanuts diced & blanched,China,AHCOF Industrial Development Co Ltd,Aflatoxin,0.06,mg/kg,NUT 11/2018,Risk,,
2020-12-29,Mouth freshener,India,Dharampal Satyapal (India),Additive 127 (Erythrosine),Not permitted in this food,,FSC 1.3.1,Surveillance,,
2020-12-29,Areca catechu (Betel nut),India,Unique Fragrances,Prohibited plant,,,FSC 1.4.4,Risk,,
2020-12-30,Chilli powder,India,Synthite Industries Ltd,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2020-12-31,Coffee Nescafe roast ready to drink,Thailand,Quality Coffee Product Co Ltd,Caffeine,800,mg/L,FSC 2.6.4,Surveillance,,
2021-01-05,Dragon fruit,Vietnam,Goodlife Company Limited,Carbendazim,Detected - Not permitted in this food,mg/kg,FSC 1.4.2,Surveillance,,
2021-01-05,Areca catechu (Betel nut),India,Kirti Impex,Prohibited plant,,,FSC 1.4.4,Risk,,
2021-01-06,Seasoned vinegar,Japan,Marukan Su Co Ltd,Additive colouring- carthamus yellow,Not permitted in this food,,FSC 1.3.1,Surveillance,,
2021-01-06,Chilli powder,India,Meximport Food Win Se Rl,Salmonella,Detected,/125g,SPI 06/2019,Risk,,
2021-01-07,Dried kelp,Korea Republic of,Badamoolsan Fishing Union Corporation,Iodine,2660,mg/kg,BSW 12/2016,Risk,,
2021-01-08,Salad dressing,Indonesia,PT Berkat Rasa Fajarindo,Aflatoxin,"0.013 (product contains 78% peanut, therefore the calculated maximum level is 0.0117)",mg/kg,NUT 11/2018,Risk,,
2021-01-08,Sate salad dressing,Indonesia,PT Berkat Rasa Fajarindo,Aflatoxin,"0.011 (product contains 68% peanut, therefore the calculated maximum level is 0.0102)",mg/kg,NUT 11/2018,Risk,,
2021-01-08,Dried seaweed,Korea Republic of,Badamoolsan Fishing Union Corporation,Iodine,4260,mg/kg,BSW 12/2016,Risk,,
2021-01-08,Masala peanut,India,GRB Dairy Foods Pvt Ltd,Aflatoxin,"0.023 (product contains 46% peanut, therefore the calculated maximum level is 0.0069)",mg/kg,NUT 11/2018,Risk,,
2021-01-08,Mild peanut salad dressing,Indonesia,PT Ambengan Jaya Berkat Sejahtera,Aflatoxin,0.9,mg/kg,NUT 11/2018,Risk,,
