Date_of_fail,Product_description,Country_of_origin,Producer_name,Reason_for_fail,Results,Units,Reference,Category,Test_applied,Holding_order_number
2020-09-14,assorted fruit,china,holly food,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-09-16,nut cracker spicy coated fried peanut,india,haldirams snacks,aflatoxin,"0.014 
(product contains 69% peanut, therefore the calculated maximum level is 0.010)",mg/kg,nut 112018,risk,nan,
2020-09-17,raze energy voodoo sports drink,united states,repp sports,caffeine,In excess of 320 ,mg/L,fsc 264,surveillance,nan,
2020-09-17,raze energy lime sports drink,united states,repp sports,caffeine,In excess of 320 ,mg/L,fsc 264,surveillance,nan,
2020-09-17,frozen baby clam meat,vietnam,hop tan seafood,e coli,"110, >110, 24, 2.3, <2.3",MPN/g,mol 042017,risk,nan,
2020-09-17,dry anchovy,myanmar,city winner,histamine,1000,mg/kg,his 122016,risk,nan,
2020-09-17,raze energy watermelon sports drink,united states,repp sports,caffeine,In excess of 320 ,mg/L,fsc 264,surveillance,nan,
2020-09-17,raze energy guava mango sports drink,united states,repp sports,caffeine,In excess of 320 ,mg/L,fsc 264,surveillance,nan,
2020-09-18,dried red dates,china,tianjin jinghai huixin industry trade,propargite,"0.06 
Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-09-21,mari sing bhujiya,india,kartik enterprise,aflatoxin,"0.01 
(product contains 63% peanut, therefore the calculated maximum level is 0.009)",mg/kg,nut 112018,risk,nan,
2020-09-21,organic toasted coconut flakes,sri lanka,sanmick food,salmonella,Detected,/250g,ses 052014,risk,nan,
2020-09-21,freshwater dried fish stolothrissa tanganicae,tanzania united republic,fjb fish,histamine,260,mg/kg,his 122016,risk,nan,
2020-09-23,tasty spicy coated peanuts,india,haldirams snacks,aflatoxin,"0.012 
(product contains 65% peanut, therefore the calculated maximum level is 0.009)",mg/kg,nut 112018,risk,nan,
2020-09-25,olives,greece,i g higas s geordgiadis snc,additive colour 127,Not permitted in this food ,n/a ,fsc 131,surveillance,nan,
2020-09-25,betel nut  mouth freshener,united arab emirates,trident exports middle east fze,"areca catechu
betel nut",Prohibited plant ,n/a ,fsc 144,surveillance,nan,
2020-09-28,burn hd thermogenic cortisol support supplement,canada,hd muscle,caffeine,9.56 - Exceeds permitted ML,g/100g,fsc 111,surveillance,nan,
2020-09-29,tasty peanuts,india,euro  fresh foods,aflatoxin,0.155,mg/kg,nut 112018,risk,nan,
2020-09-29,cassava chips,sri lanka,lakrasa food,hydrocyanic acid,29,mg/kg,cas 092019,risk,nan,
2020-09-29,mixed fruit jam,india,dorsal expoventure private,vitamin b3,Not permitted in this food ,n/a ,fsc 132,surveillance,nan,
2020-09-29,halawa plain,lebanon,sonaco lebanon,salmonella,Detected,/125g,ses 052014,risk,nan,
2020-10-02,cheese cutz crispy  cheesy crackers,sri lanka,cargills quality confectioneries,vitamin k1,Not permitted in this food ,n/a ,fsc 132,surveillance,nan,
2020-10-02,cream crackers,sri lanka,cargills quality confectioneries,vitamin k1,Not permitted in this food ,n/a ,fsc 132,surveillance,nan,
2020-10-05,frozen white clams,vietnam,viet hung agricultural products and foodstuffs jsc,e coli,"<2.3, 7.5, <2.3, 2.3, 46",MPN/g,mol 042017,risk,nan,
2020-10-06,breakfast cereal,portugal,a tremoceira estrela da piedade lda,pantothenic acid,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-06,breakfast cereal,portugal,a tremoceira estrela da piedade lda,vitamin b6,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-07,pitted red dates,china,micson food processing,cypermethrin,"0.15
Exceeds permitted MRL ",mg/kg,fsc 142,surveillance,nan,
2020-10-07,pitted red dates,china,micson food processing,propargite,"0.073
Not permitted in this food ",mg/kg,fsc 142,surveillance,nan,
2020-10-07,frozen mackerel fillet,china,dalian chengxin seafood coltd,histamine,2300,mg/kg,his 122016,risk,nan,
2020-10-07,boost beverage,india,bathra enterprises,copper,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-07,boost beverage,india,bathra enterprises,niacin,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-07,boost beverage,india,bathra enterprises,biotin,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-07,frozen soft shell crab,thailand,siamchai international food   establishment 1049,nitrofurazone,"0.002 
Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-10-07,boost beverage,india,bathra enterprises,pantothenic acid,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-07,red chilli powder extra hot,india,synthite industries private,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-10-07,frozen soft shell crab,thailand,siamchai international food   establishment 1049,nitrofurazone,"0.001 
Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-10-07,boost beverage,india,bathra enterprises,nan,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-07,boost beverage,india,bathra enterprises,vitamin c,Not permitted in this food,n/a ,fsc 132,surveillance,nan,
2020-10-08,soft shell crab,myanmar,aung moe khine manufacturing coltd,nitrofurazone,"0.002
Not permitted in this food ",mg/kg,fsc 142,surveillance,nan,
2020-10-09,sweet peanuts,india,multigrain food,aflatoxin,0.043,mg/kg,nut 112018,risk,nan,
2020-10-09,spanish mackerel steaks,indonesia,pt tridaya jaya manunggal,histamine,371,mg/kg,his 122016,risk,nan,
2020-10-09,seaweed powder kelp,japan,harvest,iodine,3630,mg/kg,bsw 122016,risk,nan,
2020-10-12,chilli powder,india,sudjir sheth,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-10-12,cooked prawn meat,vietnam,thanh thuy,standard plate count,"260,000, 230,000, 310,000, 190,000, 81,000",CFU/g,cru 032019,risk,nan,
2020-10-15,kelp powder,india,sunhae marine,iodine,5300,mg/kg,bsw 122016,risk,nan,
2020-10-15,jute leaves,philippines,kaelen phils,chlorpyrifos,"0.031
Exceeds permitted MRL",mg/kg,fsc 142,surveillance,nan,
2020-10-15,jute leaves,philippines,kaelen phils,profenofos,"0.18
Exceeds permitted MRL",mg/kg,fsc 142,surveillance,nan,
2020-10-16,dried shaved bonito,japan,kaneshichi,histamine,340,mg/kg,his 122016,risk,nan,
2020-10-16,frozen whole white clams,vietnam,godaco seafood jsc,e coli,"46, 24, 110, <2.3, <2.3",MPN/g,mol 042017,risk,nan,
2020-10-16,red chilli powder,india,synthite industries private,salmonella,Detected,/125g,spi 062019,risk,nan,
2020-10-16,lil nitro gummy bears,united states,nestle,additive sodium benzoate,Not permitted in this food,,fsc 131,surveillance,nan,
2020-10-19,durian,malaysia,far east import export serdang,metalaxyl,"0.079
Exceeds permitted MRL",mg/kg,fsc 142,surveillance,nan,
2020-10-19,durian,malaysia,far east import export serdang,metalaxyl,"0.08 
Exceeds permitted MRL",mg/kg,fsc 142,surveillance,nan,
2020-10-19,durian,malaysia,far east import export serdang,chlorpyrifos,"0.058
Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-10-19,durian,malaysia,far east import export serdang,chlorpyrifos,"0.046
Not permitted in this food",mg/kg,fsc 142,surveillance,nan,
2020-10-21,tapioca stick masala chips,india,anupam foods and enterprises,hydrocyanic acid,14,mg/kg,cas 092019,risk,nan,
2020-10-21,fried and seasoned crab,korea,greenwell food   namdoo food,standard plate count,"330,000, 890,000, 400,000, 340,000, 440,000",CFU/g,cru 032019,risk,nan,
2020-10-22,peanut gajjak,india,bikanervala foods,aflatoxin,0.024,mg/kg,nut 112018,risk,nan,
2020-10-26,wheat flour  high gluten,china,angel yeast coltd,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-10-26,white fermented bean curd with sesame oil,taiwan,chai li food,bacillus cereus,">12000,<100, 200, 100, >15000",CFU/g,imported food control act section 32,surveillance,nan,
2020-10-26,cj its well vermicelli,china,sishui lifeng food products cj freshway qingdao  cc2,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-10-27,barbecue cracker nuts,philippines,food industries,aflatoxin,0.225,mg/kg,nut 112018,risk,nan,
2020-10-27,fruit cake rusk,india,bikanervala foods,additive erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-10-28,locust beans,nigeria,feco foods industries,ricinus communis castor bean,Prohibited plant ,,fsc 144,surveillance,nan,
2020-10-30,coated peanuts,indonesia,pt selaras jaya aneka globalindo,aflatoxin,0.014,mg/kg,nut 112018,risk,nan,
2020-11-02,seasoned yellow rice,united states,smart final,folic acid,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,seasoned yellow rice,united states,smart final,thiamine,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,seasoned yellow rice,united states,smart final,iron,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,long grain rice with vegetable  spices,united states,smart final,iron,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,long grain rice with vegetable  spices,united states,smart final,niacin,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,long grain rice with vegetable  spices,united states,smart final,folic acid,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,seasoned yellow rice,united states,smart final,riboflavin,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,seasoned yellow rice,united states,smart final,niacin,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,long grain rice with vegetable  spices,united states,smart final,thiamine,"Not permitted in 
this food",,fsc 132,surveillance,nan,
2020-11-02,cool cherry flavoured bubble gum,south africa,mondelez south africa ptd,additive erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-11-04,betel nut,india,favour ita international,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-11-05,legal lean syrup cherryraspberry,united states,doing big things,melatonin,Not permitted in this food,,imported food control act section 32,surveillance,nan,
2020-11-05,jelly babies confectionery,south africa,mister sweet,additive erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-11-05,legal lean syrup grape,united states,doing big things,melatonin,Not permitted in this food,,imported food control act section 32,surveillance,nan,
2020-11-05,toor dal pea,myanmar,ays mfg,chlorpyrifos,0.013 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-11-05,seaweed knot,china,xianglan deil,iodine,1450,mg/kg,bsw 122016,risk,nan,
2020-11-05,legal lean syrup grape,united states,doing big things,st johns wort,Prohibited plant,,fsc 144,surveillance,nan,
2020-11-05,legal lean syrup cherryraspberry,united states,doing big things,st johns wort,Prohibited plant,,fsc 144,surveillance,nan,
2020-11-06,peanuts,argentina,manisel sa,aflatoxin,0.261,mg/kg,nut 112018,risk,nan,
2020-11-09,cooked prawn with garlic marinade,vietnam,seavina joint stock company,standard plate count,"190000, 240000, 230000, 220000, 1700000",CFU/g,cru 032019,risk,nan,
2020-11-09,maldive fish chips,sri lanka,derana marketing services,histamine,310,mg/kg,his 122016,risk,nan,
2020-11-09,crawfish tail,china,qingdao miracle import export,listeria monocytogenes,Detected,/125g,cru 032019,risk,nan,
2020-11-09,frozen shredded coconut,vietnam,bjt joint stock company,salmonella,Detected,/250g,fsc 161,surveillance,nan,
2020-11-09,dried seaweed,japan,fukushima katsuo,iodine,4300,mg/kg,bsw 122016,risk,nan,
2020-11-09,frozen somber fish,thailand,new lamthong foods industries,histamine,290,mg/kg,his 122016,risk,nan,
2020-11-09,maldive fish chips,sri lanka,derana marketing services,histamine,750,mg/kg,his 122016,risk,nan,
2020-11-09,crawfish tail,china,qingdao miracle import export,standard plate count,"120000, 150000, 160000, 140000, 860000",CFU/g,cru 032019,risk,nan,
2020-11-10,garlic shoots,china,shandong sinofarm,carbendazim,"0.06 - Exceeds permitted
MRL",mg/kg,fsc 142,surveillance,nan,
2020-11-13,anchovy fillets,italy,talatta srl,histamine,360,mg/kg,his 122016,risk,nan,
2020-11-16,watermelon flavoured bubble gum,south africa,mondelez south africa,additive erythrosine,Not permitted in this food,,fsc 131,surveillance,nan,
2020-11-17,munaka sultana currant,india,jay keshav exports,cyhalothrin,0.66 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-11-17,fresh baby corn,thailand,exoriens fresh,e coli,"<10, <10, 23, 43, 240",MPN/g,fsc 161,surveillance,nan,
2020-11-19,fruit jelly,malaysia,tenten,additive sodium benzoate 211,Not permitted in this food,,fsc 131,surveillance,nan,
2020-11-20,crab meat,vietnam,saigon aquatic products trading joint stock company dl769,nitrofurazone,0.019 - Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-11-20,frozen whole durian,vietnam,bjt joint stock company,iprodione,0.39 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-11-20,betel nut medium slices,india,jay keshav exports,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-11-20,frozen whole durian,vietnam,bjt joint stock company,carbendazim,0.18 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-11-20,mouth freshener,india,jsrj group,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-11-24,dried shaved bonito,japan,yamaki,histamine,240,mg/kg,his 122016,risk,nan,
2020-11-25,faunus  lemon syrup,taiwan,ming sheng food enterprises,additive silicone resin,Not permitted in this food,,fsc 132,surveillance,nan,
2020-11-26,jacobs original cream crackers,malaysia,kraft malaysia,vitamin a,Not permitted in this food,,fsc 142,surveillance,nan,
2020-11-26,toor dal pea,india,patel chaturbhai ranchhodbhai pulses llp,chlorpyrifos,0.017 - Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-11-26,jacobs original cream crackers,malaysia,kraft malaysia,vitamin b12,Not permitted in this food,,fsc 142,surveillance,nan,
2020-11-26,jacobs original cream crackers,malaysia,kraft malaysia,iodine,Not permitted in this food,,fsc 142,surveillance,nan,
2020-11-27,pickled fish powder,sri lanka,taviuc,histamine,240,mg/kg,his 122016,risk,nan,
2020-11-27,frozen herring,latvia,auriba,listeria monocytogenes,Detected,/125g,fsh 072018,risk,nan,
2020-11-27,sweetened betel nut,pakistan,fazal trading enterprises,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-11-27,fried and seasoned crab,korea,greenwell food   namdoo food,standard plate count,"2200000, 78000, 160000, 28000, 78000",CFU/g,cru 032019,risk,nan,
2020-12-01,horseradish powdered,japan,kinjirushi wasabi  yokohama japan,vitamin c,Not permitted in this food,,fsc 132,surveillance,nan,
2020-12-04,peanuts blanched,brazil,beatrice comercio importacao e exportacao de amendom ltda,aflatoxin,0.033,mg/kg,nut 112018,risk,nan,
2020-12-04,dried spanish mackerel,sri lanka,cmb lanka private,histamine,920,mg/kg,his 122016,risk,nan,
2020-12-04,peanuts flour coated,india,jamnadas ruttonsey and company,aflatoxin,0.22,mg/kg,nut 112018,risk,nan,
2020-12-04,dried spanish mackerel,sri lanka,cmb lanka private,histamine,410,mg/kg,his 122016,risk,nan,
2020-12-07,peanutsesame paste,china,beijing wangzhihe foodstuff factory,aflatoxin,"0.011 (product contains 50% peanut, therefore the calculated maximum level is 0.0075)",mg/kg,nut 112018,risk,nan,
2020-12-07,anchovy fillets in olive oil,italy,talatta srl,histamine,2150,mg/kg,his 122016,risk,nan,
2020-12-08,maldive fish chips,sri lanka,derana marketing services,histamine,250,mg/kg,his 122016,risk,nan,
2020-12-08,custard cake one roll,vietnam,tan tien phat food manufacturer,colour 131,Not permitted in this food,,fsc 131,surveillance,nan,
2020-12-08,anchovies,italy,delizie di calaeria,histamine,310,mg/kg,his 122016,risk,nan,
2020-12-09,frozen cut hyacinth beans,india,vadilal industries,profenofos,0.035 Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-12-09,peanut chickee,pakistan,oasis,aflatoxin,"0.014 (product contains 60% peanut, therefore the calculated maximum level is 0.009)",mg/kg,nut 112018,risk,nan,
2020-12-09,betel nut,india,shree ram exports,areca catechu betel nut,Prohibited plant,,fsc 144,surveillance,nan,
2020-12-10,rice,thailand,cp intertrade,lead,0.9,mg/kg,fsc 141,surveillance,nan,
2020-12-10,barramundi skin on,indonesia,pt iambeu mina utama,nitrofurazone,0.004 Not permitted in this food,mg/kg,fsc 142,surveillance,nan,
2020-12-11,dried anchovy,myanmar,shwe myanmar investment and commercial,histamine,360,mg/kg,his 122016,risk,nan,
2020-12-11,cereal original chips ahoy,united states,smart final,vitamin b5,Not permitted in this food,,fsc 132,surveillance,nan,
2020-12-14,raspberry juice concentrate,canada,pacific coast fruit products,fipronil,0.10 Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-12-15,kelp powder,korea,bkf global,iodine,4380,mg/kg,bsw 122016,risk,nan,
2020-12-15,garlic shoots,china,anqiu artisan agricultural products,thiabendazole,0.28 Exceeds permitted MRL,mg/kg,fsc 142,surveillance,nan,
2020-12-16,canned tuna tomato and basil,thailand,abd khan,histamine,812,mg/kg,his 122016,risk,nan,
2020-12-16,canned tuna tuna and onion,thailand,abd khan,histamine,455,mg/kg,his 122016,risk,nan,
